id,name,salary_from,salary_to,salary_currency,salary_avg,employer_name,employer_url,experience,employment,schedule,requirement,responsibility,published_at,url
131526946,Старший Python-разработчик,,350000.0,RUR,350000.0,МФК Фордевинд,https://api.hh.ru/employers/2568479,Более 6 лет,,,Опыт коммерческой разработки от 5 лет. Умение работать с системой контроля версий Git. Хорошее владение Python: умение писать чистый читаемый...,"Тестирование и отладка разработанного кода, ведение документации. Помощь в <highlighttext>разработке</highlighttext> backend-а микросервисных web-приложений. Участие в принятии технических решений...",2026-04-18T08:52:56+0300,https://hh.ru/vacancy/131526946
130522467,Middle+ / Senior Python разработчик,130000.0,290000.0,RUR,210000.0,RedLab,https://api.hh.ru/employers/4614421,Более 6 лет,,,"Коммерческий опыт разработки на Python от 3 лет (Senior — от 5). Отличное знание Python 3.8+, понимание асинхронного программирования...",<highlighttext>Разработка</highlighttext> backend-сервисов на <highlighttext>Python</highlighttext> с использованием современных фреймворков. Проектирование микросервисной архитектуры и API (REST/gRPC). Интеграция с внешними и...,2026-04-18T11:55:22+0300,https://hh.ru/vacancy/130522467
131799270,Python Developer Middle+,1800.0,4000.0,EUR,2900.0,AbeloHost B.V.,https://api.hh.ru/employers/9854481,От 3 до 6 лет,,,"Python 3.10+ (3+ лет коммерческого опыта). Уверенная работа с async (asyncio, httpx / aiohttp). Опыт разработки API (FastAPI). ",<highlighttext>Разработка</highlighttext> и поддержка сервисов на <highlighttext>Python</highlighttext> (FastAPI). Построение pipeline’ов сбора и обработки данных. Скрапинг текстовых и медиа-данных (HTML...,2026-04-18T00:28:37+0300,https://hh.ru/vacancy/131799270
132250027,Python-разработчик,180000.0,220000.0,RUR,200000.0,Sette,https://api.hh.ru/employers/12470862,От 3 до 6 лет,,,"Участие в разработке data/AI компонентов, включая RAG и LLM при наличии опыта. Требования: Опыт коммерческой разработки на Python от...",<highlighttext>Разработка</highlighttext> и развитие backend-сервисов на <highlighttext>Python</highlighttext>. Проектирование и реализация API (REST) и интеграций. Работа с высоконагруженной системой и сложной...,2026-04-17T17:37:22+0300,https://hh.ru/vacancy/132250027
132132477,Python-разработчик,,,,,Платформа Больших Данных,https://api.hh.ru/employers/5202841,От 3 до 6 лет,,,Уверенное владение Python 3.8+. Опыт разработки веб-приложений с использованием FastAPI или Django. Понимание микросервисной архитектуры и REST...,Рефакторинг и оптимизация существующих модулей. Участие в код-ревью и командной <highlighttext>разработке</highlighttext> по Git Flow. Участие в тестировании работы приложений.,2026-04-17T16:09:18+0300,https://hh.ru/vacancy/132132477
131840214,Программист Python,,,,,ВойсЛинк,https://api.hh.ru/employers/2584006,От 3 до 6 лет,,,"Опыт коммерческой разработки на Python от 3-х лет. -Понимание реляционных СУБД на базовом уровне, умение писать несложные SQL-запросы. -","Наша компания выполняет полный цикл работ по проектированию, <highlighttext>разработке</highlighttext> и внедрению IT решений для автоматизации управления транспортной инфраструктурой в масштабе...",2026-04-17T13:18:26+0300,https://hh.ru/vacancy/131840214
132236680,Python-разработчик,,,,,RDP.RU,https://api.hh.ru/employers/1710349,Более 6 лет,,,"Обязательно - python на уровне middle и java (как преимущество). Опыт в разработке: FastAPI, SQLAlcheny, requests, AsyncIO, Flask, python-iptables, IPRoute...",<highlighttext>Разработка</highlighttext> сервисов на <highlighttext>python</highlighttext> для агентов удалённого управления ОС embedded на базе дистрибутивов linux. <highlighttext>Разработка</highlighttext> и сопровождение ПО для установки...,2026-04-17T13:05:49+0300,https://hh.ru/vacancy/132236680
131176285,Senior Python developer,,,,,Платежное Решение,https://api.hh.ru/employers/10568027,Более 6 лет,,,Высокий уровень владения Python. Опыт от 3 лет коммерческой разработки в качестве разработчика ПО на крупных проектах. Опыт работы с...,"<highlighttext>Разработка</highlighttext> нового функционала и доработка существующего, тестирование и поддержка масштабируемого веб-приложения на <highlighttext>Python</highlighttext>. Участие в проектировании архитектуры приложений и...",2026-04-17T10:54:28+0300,https://hh.ru/vacancy/131176285
132232043,Разработчик Python,,,,,СБЕР,https://api.hh.ru/employers/3529,От 3 до 6 лет,,,Опыт коммерческой разработки на Python (от 3 лет). Владение инструментами контроля версий (Git). Знание паттернов и антипаттернов разработки и написания...,<highlighttext>Разработка</highlighttext> сервисов и библиотек для AI-агентов. Поддержка и развитие существующих сервисов. Проектирование детальной архитектуры и АPI для новых сервисов. ,2026-04-17T11:25:50+0300,https://hh.ru/vacancy/132232043
131928728,Python Developer,,,,,Домклик,https://api.hh.ru/employers/2136954,От 3 до 6 лет,,,"Опыт работы с MongoDB. Знание и желание применять паттерны SOLID, GRASP, CleanArchitecture и другие. Понимание алгоритмов, сложности работы функций и...","Реализовывать высоконагруженные и производительные сервисы на <highlighttext>Python</highlighttext>. Участвовать в проектировании архитектуры, выработке решений по отказоустойчивости и производительности. Интегрироваться с партнерами...",2026-04-16T18:16:35+0300,https://hh.ru/vacancy/131928728
131691586,Программист-разработчик,100000.0,120000.0,RUR,110000.0,НПК Атроник,https://api.hh.ru/employers/4470566,Нет опыта,,,...с системами контроля версий (git). Опыт разработки на одноплатных компьютерах. Опыт использования фреймворка Qt. Опыт разработки под Linux. Знание Python.,"Проектирование и <highlighttext>разработка</highlighttext> новых компонент автоматизированной информационной системы. Работа в текущем проекте, также принимать участие в <highlighttext>разработке</highlighttext> нового). ",2026-04-18T10:07:10+0300,https://hh.ru/vacancy/131691586
132250180,Middle backend developer / Python специалист,,,,,Brandquad,https://api.hh.ru/employers/2131829,От 3 до 6 лет,,,"Общий опыт коммерческой разработки от 3-х лет. Отличные знания Python. Опыт работы с Go. Опыт работы с DRF, Aiohttp...","Развитие системы сбора и подготовки данных (импорты, предварительные расчеты данных). Имплементация ETL, Data пайплайнов. Проектировать и реализовывать REST API для...",2026-04-17T17:44:21+0300,https://hh.ru/vacancy/132250180
130498143,Senior Python developer (Tantor XData),,,,,Группа компаний Астра,https://api.hh.ru/employers/5060211,Более 6 лет,,,Опыт работы с PostgreSQL в роли разработчика приложений. Понимание плюсов и минусов ORM. Написание unit/integration тестов (pytest). ,...в <highlighttext>разработке</highlighttext> технического дизайна и архитектуры. Взаимодействие с кросс-функциональными командами. <highlighttext>Разработка</highlighttext> и поддержка unit/integration тестов. Повышать стандарты <highlighttext>разработки</highlighttext>...,2026-04-17T16:40:19+0300,https://hh.ru/vacancy/130498143
129798611,Senior/Lead Python-разработчик,,,,,KTS,https://api.hh.ru/employers/3202190,Более 6 лет,,,"Имеешь от 5 лет коммерческого опыта с Python, asyncio и aiohttp. Уверенно работаешь с SQLAlchemy и, при необходимости, пишешь сырые...",Автоматизируем сложные бизнес-процессы. Запускаем высоконагруженные веб-сервисы. Развиваем собственную школу <highlighttext>разработки</highlighttext>.,2026-04-17T20:26:38+0300,https://hh.ru/vacancy/129798611
131953738,Ведущий разработчик (Python),,,,,Мультифактор,https://api.hh.ru/employers/5042196,От 3 до 6 лет,,,"Практический опыт использования Docker для разработки, тестирования и развёртывания сервисов. Отличное знание Python, опыт промышленной разработки. Знание языков программирования С...","...проектирование и <highlighttext>разработка</highlighttext> механизмов доверия между доменами, включая Forest Trusts и External Trusts. Интеграция с Windows-инфраструктурой: <highlighttext>разработка</highlighttext> сервисов и...",2026-04-17T13:47:27+0300,https://hh.ru/vacancy/131953738
132238152,Python Backend разработчик,,,,,"ГРЧЦ, ФГУП",https://api.hh.ru/employers/30485,От 1 года до 3 лет,,,"Опыт работы в аналогичной должности от 1 года. Опыт работы с асинхронным Python 3.6-3.10, PostgreSQL, RabbitMQ. ","<highlighttext>Разработка</highlighttext> бекэнд для автоматизированных систем, направленных на мониторинг информационного пространства. Доработка и автоматизация уже существующих систем. Системы построены по принципу...",2026-04-17T13:38:12+0300,https://hh.ru/vacancy/132238152
132201064,Python developer,,,,,ИЦ АЙ-ТЕКО,https://api.hh.ru/employers/872178,От 3 до 6 лет,,,"Высшее образование, опыт 4+. Опыт: linux, bash, python, postgres, redis. А так же: Python 3.9+ (уверенное знание...","SQL (сложные запросы, агрегации, работа с большими таблицами). Работа с данными:",2026-04-16T13:00:20+0300,https://hh.ru/vacancy/132201064
132236150,Middle Python разработчик,,250000.0,RUR,250000.0,IMOT.IO,https://api.hh.ru/employers/10537564,От 3 до 6 лет,,,"...коммерческой разработки на Python 3 от 3-х лет, а также: Опыт работы с асинхронным кодом (asyncio). Опыт разработки на...","Тебе предстоит заниматься <highlighttext>разработкой</highlighttext> бизнес-логики сервиса по аналитике приемов врачей, интеграций со сторонними сервисами (МИС, CRM, АТС, мессенджеры и...",2026-04-17T12:54:38+0300,https://hh.ru/vacancy/132236150
132153593,Senior Backend Engineer (Python / Django),250000.0,350000.0,RUR,300000.0,ЭКСПОМАП,https://api.hh.ru/employers/135549,От 3 до 6 лет,,,"Опыт управления AI-агентами для разработки и использование ролей и контрактов. Опыт работы в проектах с широким технологическим стеком, где...","Проводить PR-review. Пополнять спецификации и рамки для <highlighttext>разработки</highlighttext> с помощью AI-агентов. Прямое влияние на продукт и архитектуру, возможность...",2026-04-18T10:16:46+0300,https://hh.ru/vacancy/132153593
131436064,Senior ML/CV/LLM инженер-программист (C++/Python/анализ CAD-данных),300000.0,350000.0,RUR,325000.0,Про.Потолок,https://api.hh.ru/employers/10251698,От 3 до 6 лет,,,"Оконченное высшее профильное образование или архитектурно-строительное (обязательно). Подтвержденный опыт разработки от 5 лет. Глубокое понимание паттернов проектирования, алгоритмов и...",Интеграция алгоритмов машинного обучения и компьютерного зрения для анализа инженерных чертежей. <highlighttext>Разработка</highlighttext> высокопроизводительных модулей на C++ с возможностью использования <highlighttext>Python</highlighttext>...,2026-04-18T09:49:13+0300,https://hh.ru/vacancy/131436064
132227367,Senior Python разработчик,,,,,СБЕР,https://api.hh.ru/employers/3529,Более 6 лет,,,Опыт коммерческой разработки на Python от 4 лет. Хорошее знание FastAPI / Flask / Django REST Framework. Опыт работы с SQL и...,"<highlighttext>Разработка</highlighttext> и развитие backend сервисов на <highlighttext>Python</highlighttext> и поискового индекса. Интеграции с различными источниками данных (базы, стриминговые системы, аналитические движки...",2026-04-17T10:01:30+0300,https://hh.ru/vacancy/132227367
131621248,Python-разработчик/ML-инженер,,300000.0,RUR,300000.0,Вычислительные решения,https://api.hh.ru/employers/3757107,От 3 до 6 лет,,,"Знание алгоритмов машинного обучения, принципов функционирования нейросетей, их современных архитектур. Опыт разработки приложений AI/ML на Python для текстовых/графических...",Взаимодействие с сервисами через REST API. <highlighttext>Разработка</highlighttext> и тестирование кода на <highlighttext>Python</highlighttext> в рамках ML- и ETL-процессов. ,2026-04-17T16:15:23+0300,https://hh.ru/vacancy/131621248
131939359,Python-разработчик (fullstack),,,,,ИД ПАНОРАМА,https://api.hh.ru/employers/538772,От 3 до 6 лет,,,"Подтверждённый опыт разработки на Python/Django. Хорошее знание Vue.js/Nuxt.js. Опыт интеграции со сторонними API (REST, SOAP, Webhooks), особенно с...","Бэкенд: Django (<highlighttext>Python</highlighttext>). Фронтенд: Nuxt (Vue.js). База данных: PostgreSQL. Доработка личных кабинетов (покупатель, художник, галерея). Реализация функционала корзины и оформления...",2026-04-17T09:29:28+0300,https://hh.ru/vacancy/131939359
131788518,Бэкэнд-разработчик на Python,,,,,Йолка,https://api.hh.ru/employers/11336922,От 3 до 6 лет,,,"Опыт коммерческой разработки на Python. Понимание FastAPI и Pydantic (валидация данных, сериализация). Умение работать с асинхронностью в Python. ",Yolka E-com — сервис для обработки грузов в электронной коммерции. <highlighttext>Разработка</highlighttext> и поддержка API на FastAPI. Создание и развитие Telegram...,2026-04-17T14:59:17+0300,https://hh.ru/vacancy/131788518
131268365,Ведущий Python (PyTorch) разработчик,,,,,ИТ-Экспертиза,https://api.hh.ru/employers/3073329,Более 6 лет,,,Опыт коммерческой разработки на Python (3.8+) от 5 лет. Глубокие знания PyTorch и опыт работы с deep learning. ,"<highlighttext>Разработка</highlighttext> AI-ассистентов и AI-сервисов на базе LLM для внутренних и клиентских продуктов. Интеграция облачных LLM, настройка prompt engineering...",2026-04-17T13:06:32+0300,https://hh.ru/vacancy/131268365
130605319,Python разработчик (Software Engineer),,400000.0,RUR,400000.0,Консалт Плюс,https://api.hh.ru/employers/9904744,От 3 до 6 лет,,,"Уверенное владение Python 3.11+. Опыт работы с FastAPI, SQLAlchemy, Docker, Git, Linux. Понимание архитектурных паттернов: CQRS, Saga, Event...","Разрабатывать и улучшать микросервисы (FastAPI, SQLAlchemy, DDD, CDC). Автоматизировать потоки данных и процессы через Apache Airflow. Работать с большими данными...",2026-04-17T12:51:38+0300,https://hh.ru/vacancy/130605319
120818643,Python Developer (Infrastructure),,,,,Леста Игры,https://api.hh.ru/employers/856498,От 3 до 6 лет,,,...проектах по разработке высоконагруженных и микросервисных систем по полному циклу разработки. Опыт реверс инжиниринга сетевых протоколов. Опыт менеджмента командой разработки.,"Проектирование и <highlighttext>разработка</highlighttext> микросервисных приложений, чат-ботов, тулинга оперирования. Участие в проектировании и <highlighttext>разработке</highlighttext> автоматизации производственных процессов других команд. ",2026-04-16T15:12:31+0300,https://hh.ru/vacancy/120818643
132208098,Python/JS developer,,,,,"СНС, Группа компаний",https://api.hh.ru/employers/2671,От 1 года до 3 лет,,,"Уверенное знание Python и Django, понимание структуры web-приложений, middleware, views/controllers. Опыт разработки REST API и работы с JSON...","<highlighttext>Разработка</highlighttext> и поддержка backend web-приложения управления оборудованием, и API на Django. <highlighttext>Разработка</highlighttext> программных модулей управления платами (двигатели, датчики), сканерами...",2026-04-16T15:15:01+0300,https://hh.ru/vacancy/132208098
132210140,Python-разработчик,300000.0,350000.0,RUR,325000.0,GreenCore,https://api.hh.ru/employers/12616951,Более 6 лет,,,"От 5 лет коммерческого опыта разработки на Python. Опыт в финтехе или банковской сфере. Глубокое знание Python 3, опыт работы...","Проектировать и разрабатывать ключевые компоненты высоконагруженной банковской системы. Организовывать и поддерживать процессы <highlighttext>разработки</highlighttext>, внедрять лучшие практики. Писать качественный, поддерживаемый код...",2026-04-16T15:54:50+0300,https://hh.ru/vacancy/132210140
131673052,AI-разработчик (Python) Junior / Middle,,,,,СП Солюшен,https://api.hh.ru/employers/11545313,От 1 года до 3 лет,,,"2) Сильный backend-разработчик, готовый работать в AI-first. — 1+ года Python в production, уверенное понимание backend-архитектуры. — ","...раньше выполнялись вручную. — работать автономно: задача → декомпозиция → реализация → деплой → мониторинг. Ежедневную работу над реальными backend-проектами на <highlighttext>Python</highlighttext>, GO, PHP.",2026-04-17T15:56:47+0300,https://hh.ru/vacancy/131673052
131981063,IT-разработчик,,,,,ИКС БИО ТЕХНОЛОДЖИ,https://api.hh.ru/employers/11941855,От 3 до 6 лет,,,Опыт 5+ лет в backend / fullstack разработке. Уверенная работа с Python / Node.js / Go (или аналогами). Глубокое понимание архитектуры высоконагруженных...,Проектирование архитектуры решения под бизнес-задачи. <highlighttext>Разработка</highlighttext> и развитие сети AI-агентов. Кастомизация и доработка функционала. Интеграция с внутренними и...,2026-04-18T11:06:26+0300,https://hh.ru/vacancy/131981063
130458289,Senior Python Developer (AI Backend),,,,,Бридж Тревел,https://api.hh.ru/employers/12483749,От 3 до 6 лет,,,"Python 3.11+ — senior-уровень (5+ лет в production). Async (asyncio, ASGI-фреймворк). PostgreSQL — схема, миграции, оптимизация. ","Backend на <highlighttext>Python</highlighttext>: REST API, webhook-обработка, маршрутизация запросов. Интеграции с LLM-провайдерами (OpenAI, Anthropic) — не промпт-инжиниринг, а инженерная...",2026-04-17T02:33:08+0300,https://hh.ru/vacancy/130458289
132193026,Python-разработчик,,,,,СБЕР,https://api.hh.ru/employers/3529,От 3 до 6 лет,,,"Сильный SQL - аналитические запросы, оптимизация, работа с большими объёмами данных. - Опыт работы с Apache Spark. - Опыт разработки ETL-пайплайнов. Плюсом. - ",Обязанности. - Проектирование и <highlighttext>разработка</highlighttext> AI-агента на LangGraph. - <highlighttext>Разработка</highlighttext> и сопровождение инструментов команды на <highlighttext>Python</highlighttext>. - <highlighttext>Разработка</highlighttext> и поддержка ETL-пайплайнов.,2026-04-16T10:44:31+0300,https://hh.ru/vacancy/132193026
132068859,Python-разработчик,110000.0,150000.0,RUR,130000.0,НПП МетаСофт Про,https://api.hh.ru/employers/11690748,Нет опыта,,,Уверенные знания Python. Знание принципов оптимизации вычислительных процессов. Навыки работы с большими объемами данных. Желание учиться и развиваться в новых...,"Использование существующего решения для выполнения плана построений. Написание нового функционала, оптимизация производительности системы. Активное взаимодействие с командой: участие в обсуждениях...",2026-04-16T10:45:53+0300,https://hh.ru/vacancy/132068859
131360090,Middle Backend Python Engineer,1800.0,4000.0,EUR,2900.0,AbeloHost B.V.,https://api.hh.ru/employers/9854481,От 3 до 6 лет,,,Коммерческий опыт разработки на Python 3+ года. Опыт разработки API на FastAPI. Хорошее понимание async Python (asyncio). ,<highlighttext>Разработка</highlighttext> REST API для работы с AI-моделями. Создание сервисов для inference. <highlighttext>Разработка</highlighttext> сервисов управления моделями. Интеграция с очередями задач. ,2026-04-18T00:55:58+0300,https://hh.ru/vacancy/131360090
132190896,Python-разработчик,,,,,Beorg,https://api.hh.ru/employers/43883,От 1 года до 3 лет,,,"Опыт работы с микросервисной архитектурой. Знание принципов тестирования (unit, integration). Опыт коммерческой разработки — от 1 года. Высшее техническое образование — приветствуется.","Поддержка и развитие web-платформы, по оцифровке документов с sla. Наш стек <highlighttext>Python</highlighttext>3, MySQL, MongoDB, RabbitMQ, Redis, связка монолита...",2026-04-16T10:06:40+0300,https://hh.ru/vacancy/132190896
131482630,Senior Software Python Developer,5000.0,7000.0,USD,6000.0,Trading Integral Solutions,https://api.hh.ru/employers/9544225,Более 6 лет,,,"At least 7 years of proven experience as a Python Developer, preferably in a senior or lead role. ","Design, <highlighttext>develop</highlighttext>, and maintain web applications using <highlighttext>Python</highlighttext>. Write efficient, reusable, and testable code following best practices and coding standards. ",2026-04-16T18:21:13+0300,https://hh.ru/vacancy/131482630
127823534,Инженер-программист аналитики автопилота (Python),,,,,Эвокарго,https://api.hh.ru/employers/4751605,От 3 до 6 лет,,,"Опыт разработки Python-приложений с использованием современных практик (контроль версий в git, менеджеры зависимостей типа poetry или uv, пакетирование в...",Развитие системы доставки метрик технической аналитики (из автопилота в Prometheus/VictoriaMetrics и Clickhouse на стороне инфраструктуры). <highlighttext>Разработка</highlighttext> системы анализа исторических...,2026-04-17T12:47:38+0300,https://hh.ru/vacancy/127823534
126825379,Инженер-программист инфраструктуры автопилота (Python),,,,,Эвокарго,https://api.hh.ru/employers/4751605,От 3 до 6 лет,,,Умение оформить средний проект на Python по канонам современных практик для публикации в PyPI-индекс. Наши ценности: Трудоёмкие операции автоматизируем...,<highlighttext>Разработка</highlighttext> системы запуска автопилота. Рефакторинг под переезд на ROS 2. <highlighttext>Разработка</highlighttext> системы конфигурирования автопилота. Заниматься иными смежными задачами при взаимодействии...,2026-04-17T12:47:42+0300,https://hh.ru/vacancy/126825379
131430514,Backend Python Developer (FastAPI),,220000.0,RUR,220000.0,evrone.ru,https://api.hh.ru/employers/598471,От 3 до 6 лет,,,"Web, Backend, Python. 6 и более лет. FastAPI, MessageQ, Tests. Возможность подтвердить реальность опыта в резюме.","Задачи оцениваются в часах, есть выстроенный процесс <highlighttext>разработки</highlighttext> и поставки (gitflow, cicd, etc). Стек: <highlighttext>Python</highlighttext>, FastAPI, SQLAlchemy (легаси на Django...",2026-04-16T18:08:43+0300,https://hh.ru/vacancy/131430514
131833967,Senior Python Developer,200000.0,400000.0,RUR,300000.0,GO Digital,https://api.hh.ru/employers/3569516,Более 6 лет,,,Опыт коммерческой разработки на Python от 6 лет. Опыт работы с FastAPI или Litestar (Starlite). Уверенное понимание async-подхода (asyncio...,Ищем опытного <highlighttext>Python</highlighttext>-<highlighttext>разработчика</highlighttext> для работы над backend-сервисами: развитие существующих решений и <highlighttext>разработка</highlighttext> новых сервисов с нуля. ,2026-04-16T07:29:05+0300,https://hh.ru/vacancy/131833967
131818535,Python developer,,,,,Клауд Ком,https://api.hh.ru/employers/2400958,От 1 года до 3 лет,,,"Опыт коммерческой разработки от 2 лет. Знание Python. Опыт разработки DAGs на базе Apache Airflow (проектирование, поддержка, оптимизация). ",Разрабатывать и поддерживать бэкенд-логику приложений в рамках микросервисной архитектуры. Интегрироваться с внешними API и разрабатывать собственные. Работать с брокерами...,2026-04-15T13:25:35+0300,https://hh.ru/vacancy/131818535
131659932,Tech Lead / Руководитель команды разработки Python,400000.0,,RUR,400000.0,METASCAN,https://api.hh.ru/employers/3452369,Более 6 лет,,,"Опыт продуктовой разработки на Python3. Опыт работы с Django, DRF. Опыт работы с Celery. Опыт работы с MySQL, Elasticsearch. ",Участвовать в принятии архитектурных решений. Выстраивание процессов внутри команды <highlighttext>разработки</highlighttext>. Проведение 1-to-1 встреч с командой. Распределение нагрузки команды.,2026-04-17T12:02:29+0300,https://hh.ru/vacancy/131659932
132248480,AQA Python (СберОС),,,,,СБЕР,https://api.hh.ru/employers/3529,От 3 до 6 лет,,,"Git (rebase, cherry-pick, разрешение конфликтов). Опыт с PyAutoGUI / python-xlib, Xdotool / ydotool или аналоги. Docker/Podman, виртуализация (QEMU/KVM). ","<highlighttext>Разработка</highlighttext> и поддержка фреймворка автотестов на <highlighttext>Python</highlighttext> + pytest. Автоматизация GUI-сценариев для Linux desktop (клики, ввод, проверка окон и...",2026-04-17T16:50:41+0300,https://hh.ru/vacancy/132248480
131585867,Middle Python разработчик,,200000.0,RUR,200000.0,amoCRM,https://api.hh.ru/employers/999442,От 1 года до 3 лет,,,"Релевантный опыт backend-python разработчиком не менее 1,5 лет. Умение работы с системами сбора и хранения логов. ",Написание автоматизации для решения инцидентов в highload проекте. Работа с бекапами. Автоматизация работы отделов. Осуществлять Code-review других <highlighttext>разработчиков</highlighttext>. ,2026-04-16T16:27:09+0300,https://hh.ru/vacancy/131585867
131796294,Backend developer (Senior),250000.0,300000.0,RUR,275000.0,"Hello, Doc!",https://api.hh.ru/employers/4744797,Более 6 лет,,,Опыт работы с системами контроля версий (git). Опыт разработки бекенда на Python не менее 4х лет. Опыт работы с...,"<highlighttext>Разработка</highlighttext> нового функционала и поддержка старого в рамках своей команды. Отвечать за качество: покрывать код unittest, codereview, разбирать ошибки, troubleshooting. ",2026-04-17T18:11:39+0300,https://hh.ru/vacancy/131796294
132252472,Python/AI Engineer (GenAI),,,,,СБЕР,https://api.hh.ru/employers/3529,Более 6 лет,,,"Опыт. 3+ лет коммерческой разработки на Python с продакшн‑деплоем. Опыт разработки AI/LLM решений: RAG, AI‑агенты (мультиагентные...","Backend и производительность. <highlighttext>Разработка</highlighttext> и поддержка backend‑приложений на <highlighttext>Python</highlighttext> (FastAPI / Django / Flask). Оптимизация производительности сервисов (профилирование, кэширование, асинхронность). ",2026-04-17T19:16:40+0300,https://hh.ru/vacancy/132252472
132248435,Разработчик алгоритмов цифрового зрения на C++ и Python,100000.0,160000.0,RUR,130000.0,NVI Solutions LLC,https://api.hh.ru/employers/3891965,От 1 года до 3 лет,,,...Python: от 1 года либо pet-проект. Опыт работы с библиотекой OpenCV на C++. Знание docker. Понимание классического процесса разработки...,Внедрение обученных нейросетей в систему цифрового зрения. <highlighttext>Разработка</highlighttext> и ускорение алгоритмов цифрового зрения на C++ и <highlighttext>Python</highlighttext>. Профилирование работы системы...,2026-04-17T16:49:13+0300,https://hh.ru/vacancy/132248435
132196958,Разработчик Java/Python,,250000.0,RUR,250000.0,Bell Integrator,https://api.hh.ru/employers/6189,От 3 до 6 лет,,,Опыт в IT-разработке не ниже Middle. Знание Java и Python (для Python желательно владение специфичными инструментами - Pandas и др. ,,2026-04-16T11:50:00+0300,https://hh.ru/vacancy/132196958
